Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Grantee Organization Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC),H80CS07890,818490,BPS-H80-034392,Family Healthcare Riverside Drive Clinic,2276 E Riverside Dr,Saint George,UT,84790,435-986-2565,,71,7,All Other Clinic Types,1,Active,461819,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,3/29/2022,"Southwest Utah Community Health Center, Inc.",2276 E Riverside Dr,Saint George,UT,84790-2636,"Corporate Entity, Federal Tax Exempt",-113.5331508,37.10255328,N,N,49053,Washington County,Washington,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00820,84980,BPS-H80-009078,Blanding Family Practice Community Health Center,802 S 200 W,Blanding,UT,84511,435-678-3601,www.unhsinc.com,40,1,Hospital,1,Active,461833,1457489486,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,9/15/2009,UTAH NAVAJO HEALTH SYSTEM INC,State Rte-162,Montezuma Creek,UT,84534,"Corporate Entity, Federal Tax Exempt",-109.4816423,37.61345751,N,N,49037,San Juan County,San Juan,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00831,83800,BPS-H80-037641,Midtown Community Health Center South Salt Lake,60 E 3750 S,Salt Lake City,UT,84115-4428,801-486-0911,,50,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/19/2023,"MIDTOWN COMMUNITY HEALTH CENTER, INC",2240 Adams Ave,Ogden,UT,84401-1511,"Corporate Entity, Federal Tax Exempt",-111.889284,40.68974256,N,N,49035,Salt Lake County,Salt Lake,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS26644,08E01071,BPS-H80-017367,Utah Partners for Health Dental Clinic,7651 S Main St,Midvale,UT,84047-7101,801-417-0131,,38,7,All Other Clinic Types,1,Active,461842,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/16/2015,UTAH PARTNERS FOR HEALTH,7651 S Main St,Midvale,UT,84047-7101,"Corporate Entity, Federal Tax Exempt",-111.9102316,40.61230081,N,N,49035,Salt Lake County,Salt Lake,County            ,8,Region 8,49,Utah,4904,4,Utah District 04,UT-04,Burgess Owens,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS07890,818490,BPS-H80-039557,Family Healthcare Main Street Clinic,189 N Main St,Saint George,UT,84770,435-986-2565,,57,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/5/2024,"Southwest Utah Community Health Center, Inc.",2276 E Riverside Dr,Saint George,UT,84790-2636,"Corporate Entity, Federal Tax Exempt",-113.5834294,37.11150147,N,N,49053,Washington County,Washington,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS26515,08E01040,BPS-H80-012950,FourPoints Health - Kanosh Clinic,157 N Reservation Rd,Fillmore,UT,84631,435-759-2610,fourpointshealth.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,9/1/2013,PAIUTE INDIAN TRIBE OF UTAH,440 N Paiute Dr,Cedar City,UT,84721-6181,Other,-112.404966,38.82115712,N,N,49027,Millard County,Millard,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS26644,08E01071,BPS-H80-028059,Utah Partners for Health Family Health Clinics - West Jordan,9103 S 1300 W STE 102,West Jordan,UT,84088-6709,801-417-0131,www.upfh.org,52,7,All Other Clinic Types,1,Active,461865,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,7/15/2019,UTAH PARTNERS FOR HEALTH,7651 S Main St,Midvale,UT,84047-7101,"Corporate Entity, Federal Tax Exempt",-111.9291625,40.58587498,N,N,49035,Salt Lake County,Salt Lake,County            ,8,Region 8,49,Utah,4904,4,Utah District 04,UT-04,Burgess Owens,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00321,100180,BPS-H80-038298,HEALTH WEST - GARDEN CITY CHC,325 W Logan Rd,Garden City,UT,84028,435-946-3660,www.healthwestinc.org,45,7,All Other Clinic Types,1,Active,461001,1013623941,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/21/2024,"HEALTH WEST, INC",500 S 11th Ave STE 400,Pocatello,ID,83201-4880,"Corporate Entity, Federal Tax Exempt",-111.4012892,41.94678996,N,N,49033,Rich County,Rich,County            ,8,Region 8,49,Utah,4901,1,Utah District 01,UT-01,Blake D. Moore,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00213,83950,BPS-H80-008780,Mountainlands Community Health Center Main Site Clinic,589 S State St,Provo,UT,84606-5056,801-374-9660,www.mountainlands.org,64,7,All Other Clinic Types,1,Active,461813,1427075134,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,6/29/2009,"MOUNTAINLANDS COMMUNITY HEALTH CENTER, INC.",589 S State St,Provo,UT,84606-5056,"Corporate Entity, Federal Tax Exempt",-111.6437549,40.2261563,N,N,49049,Utah County,Utah,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00043,85060,BPS-H80-039558,Magnolia Apartments,165 S 300 E,Salt Lake City,UT,84111-2556,385-252-3160,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/8/2024,WASATCH HOMELESS HEALTH CARE INC,409 W 400 S,Salt Lake City,UT,84101-1135,"Corporate Entity, Federal Tax Exempt",-111.8823974,40.76572082,N,N,49035,Salt Lake County,Salt Lake,County            ,8,Region 8,49,Utah,4901,1,Utah District 01,UT-01,Blake D. Moore,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00820,84980,BPS-H80-038992,UNHS Mobile Dental Unit,State Rte-162,Montezuma Creek,UT,84534,435-678-0601,,8,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,7/28/2024,UTAH NAVAJO HEALTH SYSTEM INC,State Rte-162,Montezuma Creek,UT,84534,"Corporate Entity, Federal Tax Exempt",-109.332188,37.273597,N,N,49037,San Juan County,San Juan,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS26644,08E01071,BPS-H80-013349,Mid-Valley Health Clinic,8446 S Harrison St,Midvale,UT,84047-3501,801-417-0131,www.upfh.org,35,7,All Other Clinic Types,1,Active,79430,1508299892,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,11/1/2013,UTAH PARTNERS FOR HEALTH,7651 S Main St,Midvale,UT,84047-7101,"Corporate Entity, Federal Tax Exempt",-111.9004381,40.59802165,N,N,49035,Salt Lake County,Salt Lake,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00220,80220,BPS-H80-010549,"Community Health Centers, Inc. 72nd Street Clinic",220 W 7200 S,Midvale,UT,84047-1043,801-566-5494,www.chc-ut.org,52,7,All Other Clinic Types,1,Active,461808,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,4/25/2011,COMMUNITY HEALTH CENTERS INC,"1455 W 2200 S, Ste 300",West Valley City,UT,84119-7219,"Corporate Entity, Federal Tax Exempt",-111.8981056,40.62068561,N,N,49035,Salt Lake County,Salt Lake,County            ,8,Region 8,49,Utah,4904,4,Utah District 04,UT-04,Burgess Owens,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00831,83800,BPS-H80-003548,MIDTOWN COMMUNITY HEALTH CENTER,2240 Adams Ave,Ogden,UT,84401-1511,801-393-5355,NA,65,7,All Other Clinic Types,1,Active,461815,1548267420,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,5/16/2007,"MIDTOWN COMMUNITY HEALTH CENTER, INC",2240 Adams Ave,Ogden,UT,84401-1511,"Corporate Entity, Federal Tax Exempt",-111.9675158,41.22583626,N,N,49057,Weber County,Weber,County            ,8,Region 8,49,Utah,4901,1,Utah District 01,UT-01,Blake D. Moore,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00213,83950,BPS-H80-014977,East Bay Health Center,299 E 900 S STE 101,Provo,UT,84606-6107,801-429-2000,www.mountainlands.org,40,7,All Other Clinic Types,1,Active,0,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/5/2015,"MOUNTAINLANDS COMMUNITY HEALTH CENTER, INC.",589 S State St,Provo,UT,84606-5056,"Corporate Entity, Federal Tax Exempt",-111.653383,40.22208747,N,N,49049,Utah County,Utah,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00043,85060,BPS-H80-027959,Admin Only,242 W Paramount Ave,Salt Lake City,UT,84115-5216,801-364-0058,,40,7,All Other Clinic Types,1,Active,46187,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,7/1/2019,WASATCH HOMELESS HEALTH CARE INC,409 W 400 S,Salt Lake City,UT,84101-1135,"Corporate Entity, Federal Tax Exempt",-111.898309,40.73639954,N,N,49035,Salt Lake County,Salt Lake,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS26515,08E01040,BPS-H80-017926,FourPoints Health - Richfield Clinic,440 S Main St,Richfield,UT,84701-2855,435-893-0977,fourpointshealth.org,40,7,All Other Clinic Types,1,Active,,1700062296,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/1/2016,PAIUTE INDIAN TRIBE OF UTAH,440 N Paiute Dr,Cedar City,UT,84721-6181,Other,-112.0847767,38.76221705,N,N,49041,Sevier County,Sevier,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00220,80220,BPS-H80-004858,STEPHEN RATCLIFFE COMMUNITY HLTH CTR,1365 W 1000 N,Salt Lake City,UT,84116-1654,801-328-5750,www.chc-ut.org,52,7,All Other Clinic Types,1,Active,461811,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1979,COMMUNITY HEALTH CENTERS INC,"1455 W 2200 S, Ste 300",West Valley City,UT,84119-7219,"Corporate Entity, Federal Tax Exempt",-111.9305589,40.79102486,N,N,49035,Salt Lake County,Salt Lake,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00321,100180,BPS-H80-038297,HEALTH WEST - NORTH LOGAN CHC,1515 N 400 E STE 104,North Logan,UT,84341-7595,435-755-6061,www.healthwestinc.org,45,7,All Other Clinic Types,1,Active,461004,1457067381,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/21/2024,"HEALTH WEST, INC",500 S 11th Ave STE 400,Pocatello,ID,83201-4880,"Corporate Entity, Federal Tax Exempt",-111.8239654,41.75941996,N,N,49005,Cache County,Cache,County            ,8,Region 8,49,Utah,4901,1,Utah District 01,UT-01,Blake D. Moore,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00519,82240,BPS-H80-037526,WCHC Physical Therapy Building,130 S 300 W,Bicknell,UT,84715-7722,435-425-3744,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/12/2023,WAYNE COMMUNITY HEALTH CENTERS INC,128 S 300 W,Bicknell,UT,84715-7722,"Corporate Entity, Federal Tax Exempt",-111.5497646,38.33912368,N,N,49055,Wayne County,Wayne,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00518,83440,BPS-H80-005650,"CARBON MEDICAL SERVICE ASSOCIATION, INC.",305 Center St,East Carbon,UT,84520-7726,435-888-4411,carbonmedialservice.com,40,7,All Other Clinic Types,1,Active,,1497717821,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/10/1992,"CARBON MEDICAL SERVICE ASSOCIATION, INCORPORATED",305 Center St,East Carbon,UT,84520-7726,"Corporate Entity, Federal Tax Exempt",-110.4166369,39.54357475,N,N,49007,Carbon County,Carbon,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00518,83440,BPS-H80-000089,CARBON MED SERV-HELPER CLINIC,125 S Main St,Helper,UT,84526-1535,435-472-7000,carbonmedicalservice.com,40,7,All Other Clinic Types,1,Active,461822,1679749196,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,6/1/2003,"CARBON MEDICAL SERVICE ASSOCIATION, INCORPORATED",305 Center St,East Carbon,UT,84520-7726,"Corporate Entity, Federal Tax Exempt",-110.8546149,39.6848325,N,N,49007,Carbon County,Carbon,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00820,84980,BPS-H80-000296,Montezuma Creek Community Health Center,State Rte-262,Montezuma Creek,UT,84534,435-651-3894,www.unhsinc.com,40,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/11/2001,UTAH NAVAJO HEALTH SYSTEM INC,State Rte-162,Montezuma Creek,UT,84534,"Corporate Entity, Federal Tax Exempt",-109.2764465,37.25821567,N,N,49037,San Juan County,San Juan,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00220,80220,BPS-H80-038478,"Community Health Centers, Inc.","1455 W 2200 S, Ste 300",West Valley City,UT,84119-7219,801-412-6920,,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,4/8/2024,COMMUNITY HEALTH CENTERS INC,"1455 W 2200 S, Ste 300",West Valley City,UT,84119-7219,"Corporate Entity, Federal Tax Exempt",-111.93298,40.72368,N,N,49035,Salt Lake County,Salt Lake,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS07890,818490,BPS-H80-037302,Family Healthcare Zion Canyon Clinic,120 Lion Blvd,Springdale,UT,84767-7724,801-986-2565,,38,7,All Other Clinic Types,1,Active,461000,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/14/2023,"Southwest Utah Community Health Center, Inc.",2276 E Riverside Dr,Saint George,UT,84790-2636,"Corporate Entity, Federal Tax Exempt",-112.9978306,37.19476579,N,N,49053,Washington County,Washington,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00220,80220,BPS-H80-024756,"Community Health Centers, Inc - Central City",610 S 200 E STE B,Salt Lake City,UT,84111-3802,801-964-6214,,50,7,All Other Clinic Types,1,Active,461862,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/18/2018,COMMUNITY HEALTH CENTERS INC,"1455 W 2200 S, Ste 300",West Valley City,UT,84119-7219,"Corporate Entity, Federal Tax Exempt",-111.8853764,40.75586471,N,N,49035,Salt Lake County,Salt Lake,County            ,8,Region 8,49,Utah,4901,1,Utah District 01,UT-01,Blake D. Moore,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00820,84980,BPS-H80-007814,Monument Valley Health Center- Satellite,30 Medical Dr,Monument Valley New,UT,84536,435-727-3000,www.unhsinc.com,48,7,All Other Clinic Types,1,Active,461835,1699803635,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,1,Year-Round,8/4/2008,UTAH NAVAJO HEALTH SYSTEM INC,State Rte-162,Montezuma Creek,UT,84534,"Corporate Entity, Federal Tax Exempt",-110.1781094,36.99940718,N,N,49037,San Juan County,San Juan,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00831,83800,BPS-H80-007698,Midtown Community Health Center at James Madison Elementary,2563 Monroe Blvd,Ogden,UT,84401-2513,801-334-2213,none,40,2,School,1,Active,461825,1447495981,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,12/1/2008,"MIDTOWN COMMUNITY HEALTH CENTER, INC",2240 Adams Ave,Ogden,UT,84401-1511,"Corporate Entity, Federal Tax Exempt",-111.9593665,41.2192902,N,N,49057,Weber County,Weber,County            ,8,Region 8,49,Utah,4901,1,Utah District 01,UT-01,Blake D. Moore,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00220,80220,BPS-H80-001779,OQUIRRH VIEW COMMUNITY HEALTH CENTER,4745 S 3200 W,Salt Lake City,UT,84129-2822,801-964-6214,www.chc-ut.org,52,7,All Other Clinic Types,1,Active,461816,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,9/1/1996,COMMUNITY HEALTH CENTERS INC,"1455 W 2200 S, Ste 300",West Valley City,UT,84119-7219,"Corporate Entity, Federal Tax Exempt",-111.9674325,40.66664999,N,N,49035,Salt Lake County,Salt Lake,County            ,8,Region 8,49,Utah,4904,4,Utah District 04,UT-04,Burgess Owens,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00831,83800,BPS-H80-008823,Midtown Community Health Center Davis County,22 S State St,Clearfield,UT,84015-1043,801-393-5355,N/A,50,7,All Other Clinic Types,1,Active,461823,1467644740,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,6/29/2009,"MIDTOWN COMMUNITY HEALTH CENTER, INC",2240 Adams Ave,Ogden,UT,84401-1511,"Corporate Entity, Federal Tax Exempt",-112.0257285,41.11369167,N,N,49011,Davis County,Davis,County            ,8,Region 8,49,Utah,4901,1,Utah District 01,UT-01,Blake D. Moore,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS26644,08E01071,BPS-H80-013358,Utah Partners for Health Mobile Clinic,8446 S Harrison St,Midvale,UT,84047-3501,801-417-0131,www.upfh.org,17,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,11/1/2013,UTAH PARTNERS FOR HEALTH,7651 S Main St,Midvale,UT,84047-7101,"Corporate Entity, Federal Tax Exempt",-111.9004381,40.59802165,N,N,49035,Salt Lake County,Salt Lake,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00220,80220,BPS-H80-019078,"Community Health Centers, Inc. - Brigham City","980 Medical Dr, Ste 1",Brigham City,UT,84302-3094,435-726-8276,chc-ut.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/23/2016,COMMUNITY HEALTH CENTERS INC,"1455 W 2200 S, Ste 300",West Valley City,UT,84119-7219,"Corporate Entity, Federal Tax Exempt",-112.0258624,41.48953273,N,N,49003,Box Elder County,Box Elder,County            ,8,Region 8,49,Utah,4901,1,Utah District 01,UT-01,Blake D. Moore,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00820,84980,BPS-H80-003946,Navajo Mountain Community Health Center,2 Rainbow City Rd,Monument Valley,UT,84536,928-672-2494,www.unhsinc.com,36,7,All Other Clinic Types,1,Active,461834,1740318401,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/3/2004,UTAH NAVAJO HEALTH SYSTEM INC,State Rte-162,Montezuma Creek,UT,84534,"Corporate Entity, Federal Tax Exempt",-110.7658151,37.06209218,N,N,49037,San Juan County,San Juan,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00462,82490,BPS-H80-004708,GREEN RIVER MEDICAL CENTER,585 W Main St,Green River,UT,84525-7784,435-564-3434,grmc.biz,50,7,All Other Clinic Types,1,Active,461804,1942317722,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/1/1984,GREEN RIVER MEDICAL CENTER,585 W Main St,Green River,UT,84525-7784,"Corporate Entity, Federal Tax Exempt",-110.1698267,38.99544556,N,N,49015,Emery County,Emery,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00820,84980,BPS-H80-039020,UNHS Mobile Medical Unit,State Rte-162,Montezuma Creek,UT,84534,435-678-0601,,8,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/5/2024,UTAH NAVAJO HEALTH SYSTEM INC,State Rte-162,Montezuma Creek,UT,84534,"Corporate Entity, Federal Tax Exempt",-109.332188,37.273597,N,N,49037,San Juan County,San Juan,County            ,8,Region 8,49,Utah,4903,3,Utah District 03,UT-03,Mike Kennedy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00321,100180,BPS-H80-038295,HEALTH WEST - BRIGHAM CITY CHC,5 W 200 N,Brigham City,UT,84302-2109,435-723-7999,www.healthwestinc.org,45,7,All Other Clinic Types,1,Active,461002,1518673441,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/21/2024,"HEALTH WEST, INC",500 S 11th Ave STE 400,Pocatello,ID,83201-4880,"Corporate Entity, Federal Tax Exempt",-112.0160407,41.51481515,N,N,49003,Box Elder County,Box Elder,County            ,8,Region 8,49,Utah,4901,1,Utah District 01,UT-01,Blake D. Moore,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS07890,818490,BPS-H80-027275,Family Healthcare Integrated Clinic,74 W Harding Ave,Cedar City,UT,84720-2562,435-865-1387,,27,7,All Other Clinic Types,1,Active,461864,1659358687,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/27/2018,"Southwest Utah Community Health Center, Inc.",2276 E Riverside Dr,Saint George,UT,84790-2636,"Corporate Entity, Federal Tax Exempt",-113.0630601,37.67858728,N,N,49021,Iron County,Iron,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00519,82240,BPS-H80-015136,WAYNE COMMUNITY HEALTH HANKSVILLE,30 S Highway 95,Hanksville,UT,84734,435-542-3281,,6,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,4/12/2015,WAYNE COMMUNITY HEALTH CENTERS INC,128 S 300 W,Bicknell,UT,84715-7722,"Corporate Entity, Federal Tax Exempt",-110.7047057,38.37321535,N,N,49055,Wayne County,Wayne,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00831,83800,BPS-H80-009174,Midtown Community Health Center Children's Clinic,5285 S 400 E STE A,Washington Terrace,UT,84405-7194,801-475-7007,,50,7,All Other Clinic Types,1,Active,461824,1013186717,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,11/20/2009,"MIDTOWN COMMUNITY HEALTH CENTER, INC",2240 Adams Ave,Ogden,UT,84401-1511,"Corporate Entity, Federal Tax Exempt",-111.9713318,41.16736101,N,N,49057,Weber County,Weber,County            ,8,Region 8,49,Utah,4901,1,Utah District 01,UT-01,Blake D. Moore,Mike Lee,John  R. Curtis,5/6/2025
Federally Qualified Health Center (FQHC),H80CS33638,09E01367,BPS-H80-030129,Creek Valley Admin ONLY Site,1065 N Hildale St # 418,Hildale,UT,84784-7770,435-900-1104 x45,www.creekvalleyhc.com,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,12/23/2019,CREEK VALLEY HEALTH CLINIC,20 South Colvin Street,Colorado City,AZ,86021,"Corporate Entity, Federal Tax Exempt",-112.9669949,37.00834157,N,N,49053,Washington County,Washington,County            ,8,Region 8,49,Utah,4902,2,Utah District 02,UT-02,Celeste Maloy,Mike Lee,John  R. Curtis,5/6/2025
