FACILITY NAME,ID NUMBER,TELEPHONE,ADDRESS,UNIT,CITY,COUNTY,ZIP,LICENSE TYPE,CAPACITY,,Mammography,,,Home Health Agency,,,Hospice,,,Ambulatory Surgical Facility,,,Hospital,,,Assisted Living Facility - Type I,,,Assisted Living Facility - Type II,,,End Stage Renal Disease Facility,,,Birthing Center,,,Abortion Clinic,,,Nursing Care Facility,,,Small Health Care Facility,,,Small Health Care Facility - Type N,,Personal Care Agency,
Advanced Surgery Center Of Northern Utah,F23-107237,4357877190,55 East Golf Course Road,,Logan,Cache,84321,Ambulatory Surgical Facility,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegis Home Health,F23-107315,4357239000,984 S Medical Drive,Suite 2,Brigham City,Box Elder,84302,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegis Hospice,F23-107339,4357239000,984 S Medical Drive,Suite 2,Brigham City,Box Elder,84302,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali's Angels Inc,F23-106443,4357342472,740 South 400 West,,Brigham City,Box Elder,84302,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All About Home Care, LLC",F23-106844,8016799085,1196 West South Jordan Parkway,Suite E-A,South Jordan,Salt Lake,84095,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alliance Home Health of Southern Utah, LLC",F23-107156,4356562889,923 South River Road,Suite 205,Saint George,Washington,84790,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Meadow Rehabilitation And Nursing,F23-106503,8019721050,2520 South Redwood Road,,West Valley City,Salt Lake,84119,Nursing Care Facility,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Always Best Care,F23-106725,4352167080,1079 East Riverside Drive,Suite 202,Saint George,Washington,84770,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Always Best Care Utah County,F23-106493,3853128225,350 East Center Street,Suite 4,Provo,Utah,84606,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amada Senior Care,F23-107025,8018933877,10421 South Jordan Gateway,Suite 600,South Jordan,Salt Lake,84095,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amada Senior Care Of Southern Utah,F23-106853,4352480800,1031 South Bluff Street,Suite 212,Saint George,Washington,84770,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amada Senior Care Ogden,F23-106886,8018668040,1410 North Hill Field Road,Suite 4,Layton,Davis,84041,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Care Home Health Services LLC,F23-107230,8017749698,5974 South Fashion Point Drive,Suite 230,South Ogden,Weber,84403,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambulatory Surgery Center of Utah,F23-107189,3852647600,5782 Adams Avenue Parkway,Suite 100,Washington Terrace,Weber,84405,Ambulatory Surgical Facility,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Fork Hospital,F23-106585,8018553300,170 North 1100 East,,American Fork,Utah,84003,Hospital,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angels Crossing Home Hospice, PLLC",F23-107182,3852923456,75 East Fort Union Boulevard,Suite 145,Midvale,Salt Lake,84047,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annie's Elder Care, LLC",F23-106883,8017971107,203 East 1300 South,,Salt Lake City,Salt Lake,84115,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applegate Homecare,F23-107263,8013943250,1492 East Ridgeline Drive,Suite 1,South Ogden,Weber,84405,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applegate Hospice,F23-107203,4356281569,292 South 1470 East,Suite 101,Saint George,Washington,84790,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applegate Hospice,F23-107225,8013943250,1492 East Ridgeline Drive,Suite 1,Ogden,Weber,84405,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arosa,F23-106791,8015033200,11520 South Redwood Road,,South Jordan,Salt Lake,84095,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashby Health Care,F23-107145,8014782521,11576 South State Street,Suite 1202B,Draper,Salt Lake,84020,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashby Hospice Llc,F23-107212,8014782521,11576 South State Street,Suite 1202B,Draper,Salt Lake,84020,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Regional Medical Center,F23-106757,4357893342,150 West 100 North,,Vernal,Uintah,84078,Hospital,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen Grove Behavioral Hospital,F23-106934,8018522273,1350 East 750 North,,Orem,Utah,84097,Hospital,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen Ridge Home Health,F23-107288,8017133248,151 East 5600 South,Suite 106,Murray,Salt Lake,84107,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen Ridge Hospice,F23-107236,8017133248,151 East 5600 South,Suite 106,Murray,Salt Lake,84107,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen Ridge Of Utah Valley,F23-106920,8017246500,1992 South Columbia Lane,,Orem,Utah,84097,Nursing Care Facility,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen Ridge Transitional Rehab,F23-106839,8017133100,963 East 6600 South,,Murray,Salt Lake,84121,Nursing Care Facility,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen Ridge West Transitional Rehab,F23-106596,8017133200,5323 South Murray Boulevard,,Murray,Salt Lake,84123,Nursing Care Facility,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aspen Senior Care, Lc",F23-106495,8012245910,1385 South 740 East,,Orem,Utah,84097,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aspire Home Health, Inc.",F23-107340,8012920296,1020 West Atherton Drive,Suite 220,Taylorsville,Salt Lake,84123,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aspire Hospice Care, Inc",F23-107199,8012920296,1020 West Atherton Drive,Suite 220,Taylorsville,Salt Lake,84123,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assisting Hands - Logan,F23-106633,4352163216,2072 North Main Street,Suite 100,North Logan,Cache,84341,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At Home Care and Health Services,F23-106466,4354946775,639 South 315 East,,Ivins,Washington,84738,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At Home Health Care,F23-107169,4355293233,45 North 100 West,,Salina,Sevier,84654,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At Home Hospice,F23-107228,4355293233,45 North 100 West,,Salina,Sevier,84654,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Home Care,F23-107178,8017719099,880 W Heritage Park Boulevard,Suite 200,Layton,Davis,84041,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Homecare of Southern Utah,F23-107215,4356288410,1525 East Ovation Place,,Washington,Washington,84780,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Hospice,F23-107345,8017719099,880 Heritage Park Blvd,Suite 200,Layton,Davis,84041,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Hospice of Southern Utah,F23-107303,4356288410,1525 East Ovation Place,,Washington,Washington,84780,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn Crest Home Health,F23-107322,8013272295,12244 S Business Park Drive,Suite 215,Draper,Salt Lake,84020,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Auburn Crest Home Health Utah, LLC",F23-107325,8013272295,12244 South Business Park Drive,Suite 215,Draper,Salt Lake,84020,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn Crest Hospice,F23-107158,8013272295,12244 South Business Park Drive,Suite 215,Draper,Salt Lake,84020,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autumn Care In-Home,F23-106623,4355570545,290 East 4000 North,,Hyde Park,Cache,84318,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Axis In-Home, Inc",F23-107150,8015766417,754 Technology Ave,Ste F11-20,Orem,Utah,84097,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear River Valley Hospital,F23-106521,4352074501,905 North 1000 West,,Tremonton,Box Elder,84337,Hospital,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Valley Home Health,F23-107255,4354385481,1109 North 100 West,Suite 102,Beaver,Beaver,84713,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Valley Hospice,F23-107153,4354385481,1109 North 100 West,Suite 102,Beaver,Beaver,84713,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Valley Hospital,F23-106675,4354387100,1109 North 100 West,,Beaver,Beaver,84713,Hospital,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beehive Senior Care,F23-106861,8012077979,858 North Leo Lane,,Lehi,Utah,84043,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Terra St George,F23-106915,4356881207,178 South 1200 East,,Saint George,Washington,84790,Nursing Care Facility,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belle Vie Hospice, LLC",F23-107239,8019979496,2901 Blue Grass Blvd,Suite 200-31,Lehi,Utah,84043,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benchmark Behavioral Health System,F23-106978,8012995300,592 West 1350 South,,Woods Cross,Davis,84087,Hospital,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Mountain Hospital,F23-106764,4356783993,802 South 200 West,,Blanding,San Juan,84511,Hospital,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Tern Home Care,F23-106960,4356503733,46 East Main Street,,Castle Dale,Emery,84513,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham City Community Hospital,F23-106824,4357349471,950 South Medical Drive,,Brigham City,Box Elder,84302,Hospital,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightenlife Home Health LLC,F23-107181,8885851475,1106 East 6600 South,Suite 100,Murray,Salt Lake,84121,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightstar Care Of Sandy-Draper,F23-106461,8015593999,5320 South 900 East,Suite 280,Salt Lake City,Salt Lake,84117,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightstar Care of Provo,F23-108139,3135901240,193 North 290 West,,Lindon,Utah,84042,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightstar Care of Provo Skilled,F23-108158,3135901240,193 North 290 West,,Lindon,Utah,84042,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightstar Skilled Care Of Sandy-Draper,F23-106462,8015593999,5320 South 900 East,Suite 280,Salt Lake City,Salt Lake,84117,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bristol Hospice-Utah II, LLC",F23-107320,8019305266,1106 East 6600 South,Suite 100,Murray,Salt Lake,84121,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bristol Hospice-Utah, LLC",F23-107352,8017372633,1638 North Washington Boulevard,Suite 102,Ogden,Weber,84404,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNS Community Hospice,F23-107193,8012336100,2830 South Redwood Road,Suite A,West Valley City,Salt Lake,84119,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNS Community Hospice - Price,F23-107155,4356138887,480 South Carbon Avenue,,Price,Carbon,84501,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNS Community Hospice - Providence,F23-107289,4357523355,221 North Gateway Drive,Suite G,Providence,Cache,84332,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNS Community Hospice-St George,F23-107146,4356529077,720 South River Road,Suite E101,Saint George,Washington,84790,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNS Home Health Plus,F23-107028,8012336100,2830 South Redwood Road,Suite A,West Valley City,Salt Lake,84119,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cache Valley Hospital,F23-106520,4357139700,2380 North 400 East,,North Logan,Cache,84341,Hospital,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canyon Breeze Senior Care Services,F23-107023,8012268338,380 East 240 North,,Orem,Utah,84057,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canyon Crest Surgical,F23-106693,3855574815,11762 South State Street,Suite 240,Draper,Salt Lake,84020,Ambulatory Surgical Facility,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canyon Home Care,F23-107291,3852979500,302 West 5400 South,Suite 200,Murray,Salt Lake,84107,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canyon Home Care Of Southern Utah,F23-107354,4352561662,1240 East 100 South,"Building 22, Suite 119",Saint George,Washington,84790,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canyon Hospice,F23-107353,3852979500,302 West 5400 South,Suite 200,Murray,Salt Lake,84107,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canyon Hospice of Southern Utah,F23-107184,4357736600,1240 East 100 South,Building 22 Suite 119,Saint George,Washington,84790,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canyon Hospice of Utah County,F23-107362,8017547020,863 West 450 South,Suite 202,Springville,Utah,84663,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canyonlands Care Center,F23-106612,4357194400,390 West Williams Way,,Moab,Grand,84532,Nursing Care Facility,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Care Planning Institute, Inc",F23-107059,8774878166,3450 North Triumph Blvd,Suite 102,Lehi,Utah,84043,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Care To Stay Home,F23-106843,4356743434,720 South River Road,Suite B100,Saint George,Washington,84790,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caregiver Support Network Hospice,F23-107350,8015470060,570 North Main Street,,Kaysville,Davis,84037,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caregiver Support Network, Inc.",F23-107226,8017472100,404 East 4500 South,Suite A24,Salt Lake City,Salt Lake,84107,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caregiving Services,F23-106613,8018703155,6905 South 1300 East,Suite 121,Midvale,Salt Lake,84047,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caring Hands,F23-107005,8017040785,1190 North Main Street,#3,Springville,Utah,84663,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caring Hearts Of Utah,F23-106726,8015746598,4963 West River Chase Road,,Herriman,Salt Lake,84096,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caring Senior Service Of Wasatch,F23-106537,3852557595,75 East Fort Union Blvd,Suite 103,Midvale,Salt Lake,84047,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascade Springs Home Healthcare,F23-107341,3854600988,1795 South Chelemes Way,Suite 200,Clearfield,Davis,84015,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascade Springs Hospice,F23-107209,8015464368,1795 South Chelemes Way,Suite 200,Clearfield,Davis,84015,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascades At Riverwalk,F23-106863,8015650800,1012 West Jordan River Boulevard,,Midvale,Salt Lake,84047,Nursing Care Facility,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascades at Orchard Park,F23-107063,8012240921,740 North 300 East,,Orem,Utah,84057,Nursing Care Facility,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castleview Hospital,F23-106823,4356374800,300 North Hospital Drive,,Price,Carbon,84501,Hospital,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataract and Lasik Center of Utah,F23-107269,8012246767,1972 West Grove Parkway,Suite 200,Pleasant Grove,Utah,84062,Ambulatory Surgical Facility,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar City Hospital,F23-107080,4358685800,1303 North Main Street,,Cedar City,Iron,84721,Hospital,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Health And Rehabilitation,F23-106809,4355866481,411 West 1325 North,,Cedar City,Iron,84721,Nursing Care Facility,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Orthopaedic Surgery Center,F23-107152,4355865131,1335 North Northfield Road,Suite 150,Cedar City,Iron,84721,Ambulatory Surgical Facility,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center For Change,F23-106583,8012248255,1790 North State Street,,Orem,Utah,84057,Hospital,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central Utah Surgicenter, LLC",F23-107270,8013740354,1067 North 500 West,,Provo,Utah,84604,Ambulatory Surgical Facility,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Valley Home Health,F23-107254,4356233050,152 West 1500 North,,Nephi,Juab,84648,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Valley Hospice,F23-107284,4356233050,152 West 1500 North,,Nephi,Juab,84648,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Valley Medical Center - Cah,F23-106876,4356233000,48 West 1500 North,,Nephi,Juab,84648,Hospital,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choice Hospice of Southern Utah,F23-107347,4356562889,923 South River Road,Suite 205,Saint George,Washington,84790,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Creek Post Acute,F23-106574,8013225521,165 South 1000 East,,Salt Lake City,Salt Lake,84102,Nursing Care Facility,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close Companions LLC,F23-106603,4357535502,132 West 300 North,,Logan,Cache,84321,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cnscares,F23-106615,8019389063,8819 South Redwood Road,Suite C Main Floor,West Jordan,Salt Lake,84088,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComForCare of East Salt Lake,F23-106470,8014475353,7069 South Highland Drive,Suite 260,Cottonwood Heights,Salt Lake,84121,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comforcare Of Northern Utah,F23-106446,4357547676,2057 North 200 East,,North Logan,Cache,84341,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comfort At Home Care, LLC",F23-106939,4356783627,210 N Shirttail Way,,Blanding,San Juan,84511,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Nursing Services,F23-107276,8012336100,2830 South Redwood Road,Suite A,West Valley City,Salt Lake,84119,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Connected Senior Care, LLC",F23-108138,4355548688,95 West 100 South,Suite 118,Logan,Cache,84321,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constantine Cosmetic Surgery,F23-106549,8012613637,5929 Fashion Blvd,,Murray,Salt Lake,84107,Ambulatory Surgical Facility,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper Ridge Health Care,F23-106902,8012802273,3706 West 9000 South,,West Jordan,Salt Lake,84088,Nursing Care Facility,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coral Desert Rehabilitation and Care,F23-106589,4356745195,1490 East Foremaster Drive,Building B,Saint George,Washington,84790,Nursing Care Facility,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coral Desert Surgery Center,F23-107229,4356745230,1490 East Foremaster Drive,Building C,Saint George,Washington,84790,Ambulatory Surgical Facility,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coram CVS/Specialty Infusion Services,F23-107187,8017131800,120 West Vine Street,Suite 140,Murray,Salt Lake,84107,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crestwood Rehabilitation and Nursing,F23-106654,8016272273,3665 Brinker Avenue,,Ogden,Weber,84403,Nursing Care Facility,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danville Support Services,F23-106779,8013631521,7351 Union Park Avenue,Suite 100,Midvale,Salt Lake,84047,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danville Support Services Personal Care,F23-106932,8013631521,7351 Union Park Avenue,Suite 100,Midvale,Salt Lake,84047,Personal Care Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December Rose Senior Care At Home,F23-106869,8014277673,12051 North Ithica Drive,,Highland,Utah,84003,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Community Hospital,F23-106992,4358645591,126 South White Sage Avenue,,Delta,Millard,84624,Hospital,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Valley Home Health LLC,F24-109933,4354061416,169 North Center Street,,Delta,Millard,84624,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diane Personal Care Agency,F24-110198,3854187127,154 West 600 South,# 231,Salt Lake City,Salt Lake,84101,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dignity Home Health of Utah,F23-107220,8014924892,174 South 1100 East,,American Fork,Utah,84003,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dignity Hospice of Utah, LLC",F23-107183,8014924892,174 South 1100 East,,American Fork,Utah,84003,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixie Home Rehab,F23-107179,4356288347,352 East Riverside Drive,Suite B3,Saint George,Washington,84790,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixie Hospice Care LLC,F23-107180,4356272724,352 East Riverside Drive,#B3,Saint George,Washington,84790,Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draper Rehabilitation And Care Center,F23-106807,8015712704,12702 South Fort Street,,Draper,Salt Lake,84020,Nursing Care Facility,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elevate Home Health, LLC",F23-107238,4356371250,88 East 100 South,,Price,Carbon,84501,Home Health Agency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elevate Hospice, LLC",F23-107242,4356371250,88 East 100 South,,Price,Carbon,84501,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elevation Hospice of Utah, LLC",F23-107299,8016101868,11693 South 700 East,Suite 200,Draper,Salt Lake,84020,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elite Home Health LLC,F23-107358,8016096034,3333 North Digital Drive,Suite 400A,Lehi,Utah,84043,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elite Home Health Utah, LLC",F23-107260,8016096034,3333 North Digital Drive,Suite 400B,Lehi,Utah,84043,Home Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elite Hospice LLC,F23-107265,8016096034,3333 North Digital Drive,Suite 400 D,Lehi,Utah,84043,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embrace Hospice,F23-107159,8014347581,911 North 800 West,,Orem,Utah,84057,Hospice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emerald Care, LLC",F23-106547,4356406972,725 Aspen Drive,,Park City,Summit,84098,Personal Care Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encompass Health Rehabilitation Hospital of Utah,F23-106760,8015613400,8074 South 1300 East,,Sandy,Salt Lake,84094,Hospital,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
